Total Population by sex (thousands),,,,,,,,,,,,,,,,,,
ISO 3166-1 numeric code,Location,Sex,Note,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
1636,      Land-locked Developing Countries (LLDC),Both sexes combined,f,   103 803,   115 488,   130 210,   147 628,   167 055,   188 251,   209 113,   234 235,   265 852,   298 698,   333 947,   374 685,   420 661,   473 817,   533 143
1636,      Land-locked Developing Countries (LLDC),Female,f,   52 511,   58 525,   66 019,   74 843,   84 636,   95 233,   105 675,   118 280,   134 210,   150 345,   168 354,   188 755,   211 963,   239 153,   268 731
1636,      Land-locked Developing Countries (LLDC),Male,f,   51 292,   56 963,   64 191,   72 784,   82 418,   93 018,   103 438,   115 956,   131 642,   148 354,   165 593,   185 930,   208 698,   234 664,   264 412
1637,      Small Island Developing States (SIDS),Both sexes combined,g,   23 771,   26 249,   29 188,   32 595,   35 868,   39 260,   42 471,   46 032,   49 808,   53 802,   57 614,   61 045,   65 253,   68 856,   72 076
1637,      Small Island Developing States (SIDS),Female,g,   11 755,   13 009,   14 500,   16 249,   17 903,   19 616,   21 222,   23 006,   24 931,   26 933,   28 848,   30 543,   32 496,   34 246,   35 749
1637,      Small Island Developing States (SIDS),Male,g,   12 016,   13 240,   14 688,   16 346,   17 965,   19 644,   21 249,   23 025,   24 876,   26 869,   28 765,   30 501,   32 757,   34 610,   36 327
1802,   World Bank income groups,Both sexes combined,,,,,,,,,,,,,,,,
1802,   World Bank income groups,Female,,,,,,,,,,,,,,,,
1802,   World Bank income groups,Male,,,,,,,,,,,,,,,,
1503,      High-income countries,Both sexes combined,h,   694 989,   738 929,   787 158,   836 545,   880 846,   924 283,   963 431,  1 001 047,  1 038 455,  1 075 966,  1 112 318,  1 151 595,  1 197 095,  1 233 935,  1 263 093
1503,      High-income countries,Female,h,   355 732,   377 819,   401 880,   426 381,   448 732,   470 501,   490 276,   509 003,   527 639,   546 224,   564 386,   582 892,   603 559,   620 940,   634 124
1503,      High-income countries,Male,h,   339 257,   361 109,   385 279,   410 164,   432 113,   453 782,   473 155,   492 043,   510 816,   529 742,   547 932,   568 702,   593 536,   612 995,   628 969
1517,      Middle-income countries,Both sexes combined,h,  1 703 596,  1 883 962,  2 080 781,  2 315 967,  2 607 461,  2 914 555,  3 221 988,  3 561 446,  3 936 199,  4 261 804,  4 567 891,  4 860 124,  5 153 738,  5 460 516,  5 753 052
1517,      Middle-income countries,Female,h,   844 523,   933 342,  1 030 195,  1 145 788,  1 288 922,  1 439 599,  1 590 359,  1 757 485,  1 940 664,  2 101 161,  2 252 120,  2 395 538,  2 540 325,  2 692 557,  2 838 535
1517,      Middle-income countries,Male,h,   859 073,   950 620,  1 050 586,  1 170 180,  1 318 538,  1 474 957,  1 631 628,  1 803 961,  1 995 535,  2 160 643,  2 315 771,  2 464 586,  2 613 413,  2 767 959,  2 914 517
1502,         Upper-middle-income countries,Both sexes combined,h,   938 931,  1 042 796,  1 144 055,  1 265 536,  1 428 300,  1 589 857,  1 731 255,  1 881 155,  2 056 240,  2 181 157,  2 285 145,  2 376 345,  2 466 364,  2 566 519,  2 654 816
1502,         Upper-middle-income countries,Female,h,   466 511,   518 120,   568 775,   628 991,   709 388,   788 807,   858 155,   932 760,  1 019 038,  1 081 432,  1 133 660,  1 179 013,  1 224 134,  1 274 648,  1 319 870
1502,         Upper-middle-income countries,Male,h,   472 420,   524 676,   575 280,   636 546,   718 912,   801 051,   873 099,   948 395,  1 037 202,  1 099 725,  1 151 484,  1 197 331,  1 242 230,  1 291 871,  1 334 947
1501,         Lower-middle-income countries,Both sexes combined,h,   764 666,   841 166,   936 726,  1 050 431,  1 179 161,  1 324 698,  1 490 733,  1 680 291,  1 879 959,  2 080 646,  2 282 746,  2 483 779,  2 687 375,  2 893 996,  3 098 235
1501,         Lower-middle-income countries,Female,h,   378 012,   415 222,   461 420,   516 797,   579 534,   650 792,   732 204,   824 725,   921 626,  1 019 729,  1 118 460,  1 216 525,  1 316 191,  1 417 908,  1 518 665
1501,         Lower-middle-income countries,Male,h,   386 653,   425 944,   475 305,   533 634,   599 626,   673 906,   758 529,   855 566,   958 333,  1 060 918,  1 164 286,  1 267 254,  1 371 183,  1 476 088,  1 579 570
1500,      Low-income countries,Both sexes combined,h,   137 042,   149 214,   165 954,   185 871,   210 778,   239 242,   271 058,   306 762,   350 701,   404 387,   461 021,   527 686,   603 340,   682 576,   775 711
1500,      Low-income countries,Female,h,   69 501,   75 731,   84 152,   94 185,   106 706,   121 002,   136 909,   154 868,   177 087,   203 645,   232 405,   265 717,   303 878,   344 186,   390 659
1500,      Low-income countries,Male,h,   67 541,   73 483,   81 802,   91 686,   104 072,   118 240,   134 149,   151 894,   173 614,   200 742,   228 616,   261 968,   299 462,   338 390,   385 051
1518,      No income group available,Both sexes combined,,    804,    915,   1 056,   1 200,   1 353,   1 400,   1 527,   1 667,   1 876,   2 056,   2 263,   2 503,   2 651,   2 771,   2 944
1518,      No income group available,Female,,    415,    469,    536,    611,    686,    712,    770,    840,    946,   1 041,   1 148,   1 274,   1 357,   1 418,   1 507
1518,      No income group available,Male,,    388,    446,    520,    589,    666,    688,    757,    827,    930,   1 015,   1 115,   1 229,   1 294,   1 353,   1 437
1840,   Geographic regions,Both sexes combined,i,,,,,,,,,,,,,,,
1840,   Geographic regions,Female,i,,,,,,,,,,,,,,,
1840,   Geographic regions,Male,i,,,,,,,,,,,,,,,
903,      Africa,Both sexes combined,j,   227 794,   252 749,   283 361,   320 147,   363 448,   414 675,   476 386,   548 626,   630 350,   717 270,   810 984,   916 154,  1 039 304,  1 182 439,  1 340 598
903,      Africa,Female,j,   114 585,   127 135,   142 348,   160 800,   182 369,   207 938,   238 686,   274 940,   315 972,   359 673,   406 821,   459 506,   521 051,   592 158,   670 720
903,      Africa,Male,j,   113 209,   125 613,   141 013,   159 348,   181 078,   206 736,   237 700,   273 686,   314 377,   357 598,   404 163,   456 648,   518 253,   590 281,   669 878
935,      Asia,Both sexes combined,k,  1 404 909,  1 549 042,  1 705 041,  1 894 974,  2 142 480,  2 401 171,  2 649 578,  2 921 173,  3 226 099,  3 493 087,  3 741 263,  3 977 986,  4 209 594,  4 433 475,  4 641 055
935,      Asia,Female,k,   685 561,   756 797,   833 780,   927 117,  1 048 625,  1 175 119,  1 296 247,  1 428 937,  1 577 131,  1 707 138,  1 828 900,  1 942 763,  2 054 281,  2 164 973,  2 267 593
935,      Asia,Male,k,   719 348,   792 245,   871 261,   967 857,  1 093 855,  1 226 053,  1 353 331,  1 492 237,  1 648 968,  1 785 949,  1 912 363,  2 035 224,  2 155 312,  2 268 503,  2 373 462
908,      Europe,Both sexes combined,l,   549 329,   576 679,   605 407,   634 783,   656 919,   676 895,   693 567,   707 584,   720 858,   726 994,   725 558,   729 288,   736 413,   743 059,   747 636
908,      Europe,Female,l,   292 867,   305 785,   319 331,   333 074,   343 519,   353 150,   361 190,   367 907,   373 854,   376 859,   376 131,   378 064,   381 798,   384 876,   386 575
908,      Europe,Male,l,   256 462,   270 894,   286 076,   301 710,   313 400,   323 746,   332 377,   339 677,   347 005,   350 136,   349 427,   351 223,   354 615,   358 182,   361 061
904,      Latin America and the Caribbean,Both sexes combined,m,   168 821,   192 727,   220 470,   252 456,   286 676,   322 777,   361 253,   402 024,   442 840,   483 018,   521 836,   557 501,   591 352,   623 934,   653 962
904,      Latin America and the Caribbean,Female,m,   84 418,   96 415,   110 336,   126 410,   143 621,   161 904,   181 353,   202 328,   223 232,   244 036,   264 064,   282 556,   299 936,   316 797,   332 334
904,      Latin America and the Caribbean,Male,m,   84 402,   96 312,   110 134,   126 046,   143 054,   160 873,   179 900,   199 695,   219 608,   238 982,   257 773,   274 945,   291 416,   307 137,   321 629
905,      Northern America,Both sexes combined,n,   172 603,   187 430,   204 649,   219 454,   230 992,   242 251,   254 007,   266 363,   279 785,   294 454,   312 427,   327 287,   343 287,   357 031,   368 870
905,      Northern America,Female,n,   86 373,   94 158,   103 074,   110 779,   117 039,   122 917,   129 268,   135 545,   142 516,   149 673,   158 448,   165 708,   173 670,   180 392,   186 289
905,      Northern America,Male,n,   86 230,   93 273,   101 575,   108 675,   113 953,   119 335,   124 739,   130 818,   137 269,   144 781,   153 979,   161 579,   169 617,   176 639,   182 581
909,      Oceania,Both sexes combined,o,   12 976,   14 393,   16 022,   17 769,   19 922,   21 710,   23 212,   25 151,   27 299,   29 390,   31 425,   33 690,   36 873,   39 859,   42 678
909,      Oceania,Female,o,   6 369,   7 072,   7 894,   8 785,   9 873,   10 786,   11 570,   12 540,   13 630,   14 694,   15 696,   16 824,   18 383,   19 905,   21 314
909,      Oceania,Male,o,   6 607,   7 321,   8 128,   8 983,   10 049,   10 924,   11 642,   12 611,   13 668,   14 696,   15 729,   16 866,   18 490,   19 954,   21 363
1828,   Sustainable Development Goal (SDG) regions,Both sexes combined,p,,,,,,,,,,,,,,,
1828,   Sustainable Development Goal (SDG) regions,Female,p,,,,,,,,,,,,,,,
1828,   Sustainable Development Goal (SDG) regions,Male,p,,,,,,,,,,,,,,,
947,      Sub-Saharan Africa,Both sexes combined,,   179 007,   197 490,   220 138,   247 831,   280 908,   321 201,   369 614,   425 841,   490 605,   560 759,   639 661,   729 733,   836 364,   958 577,  1 094 366
947,      Sub-Saharan Africa,Female,,   90 404,   99 715,   110 988,   124 874,   141 364,   161 519,   185 675,   213 925,   246 554,   281 960,   321 660,   366 787,   419 978,   480 740,   548 210
947,      Sub-Saharan Africa,Male,,   88 602,   97 774,   109 150,   122 957,   139 544,   159 682,   183 939,   211 915,   244 051,   278 800,   318 001,   362 946,   416 386,   477 837,   546 156
910,         Eastern Africa,Both sexes combined,,   66 145,   73 975,   83 558,   95 373,   109 682,   126 465,   146 488,   169 887,   197 168,   223 934,   257 353,   295 185,   339 318,   389 671,   445 406
910,         Eastern Africa,Female,,   33 350,   37 292,   42 109,   48 054,   55 246,   63 679,   73 657,   85 436,   99 291,   112 995,   129 985,   149 145,   171 352,   196 543,   224 366
910,         Eastern Africa,Male,,   32 794,   36 684,   41 450,   47 318,   54 436,   62 786,   72 832,   84 451,   97 877,   110 939,   127 369,   146 040,   167 966,   193 128,   221 040
108,            Burundi,Both sexes combined,,   2 309,   2 537,   2 798,   3 094,   3 479,   3 701,   4 157,   4 751,   5 439,   5 987,   6 379,   7 365,   8 676,   10 160,   11 891
108,            Burundi,Female,,   1 203,   1 317,   1 447,   1 595,   1 788,   1 906,   2 140,   2 443,   2 774,   3 062,   3 247,   3 736,   4 388,   5 129,   5 991
108,            Burundi,Male,,   1 106,   1 220,   1 351,   1 500,   1 691,   1 795,   2 017,   2 308,   2 665,   2 925,   3 132,   3 629,   4 288,   5 031,   5 900
174,            Comoros,Both sexes combined,,    159,    176,    191,    207,    230,    257,    308,    355,    412,    475,    542,    612,    690,    777,    870
174,            Comoros,Female,,    80,    88,    96,    104,    115,    129,    154,    178,    205,    237,    270,    304,    342,    385,    431
174,            Comoros,Male,,    79,    87,    95,    103,    115,    128,    154,    178,    206,    239,    273,    308,    348,    392,    439
262,            Djibouti,Both sexes combined,,    62,    70,    84,    115,    160,    224,    359,    426,    590,    630,    718,    783,    840,    914,    988
262,            Djibouti,Female,,    31,    35,    42,    58,    80,    112,    178,    211,    293,    313,    357,    390,    393,    431,    469
262,            Djibouti,Male,,    31,    35,    42,    57,    79,    112,    181,    215,    297,    317,    361,    394,    447,    483,    519
232,            Eritrea,Both sexes combined,,    822,    900,   1 008,   1 148,   1 311,   1 505,   1 733,   2 004,   2 259,   2 204,   2 292,   2 827,   3 170,   3 343,   3 546
232,            Eritrea,Female,,    415,    453,    507,    577,    657,    755,    868,   1 003,   1 129,   1 107,   1 151,   1 416,   1 586,   1 668,   1 769
232,            Eritrea,Male,,    407,    446,    501,    572,    654,    751,    865,   1 001,   1 130,   1 097,   1 141,   1 410,   1 584,   1 674,   1 778
231,            Ethiopia,Both sexes combined,,   18 128,   19 947,   22 151,   25 014,   28 415,   32 567,   35 142,   40 652,   47 888,   57 048,   66 225,   76 346,   87 640,   100 835,   114 964
231,            Ethiopia,Female,,   9 130,   10 039,   11 140,   12 574,   14 276,   16 352,   17 649,   20 416,   24 007,   28 607,   33 205,   38 272,   43 912,   50 427,   57 447
231,            Ethiopia,Male,,   8 998,   9 909,   11 011,   12 440,   14 139,   16 214,   17 493,   20 236,   23 880,   28 441,   33 019,   38 074,   43 727,   50 409,   57 517
404,            Kenya,Both sexes combined,,   6 077,   6 988,   8 120,   9 530,   11 301,   13 576,   16 417,   19 877,   23 725,   27 768,   31 965,   36 625,   42 031,   47 878,   53 771
404,            Kenya,Female,,   3 012,   3 473,   4 045,   4 762,   5 660,   6 808,   8 235,   9 968,   11 905,   13 958,   16 098,   18 453,   21 162,   24 096,   27 053
404,            Kenya,Male,,   3 065,   3 515,   4 075,   4 768,   5 642,   6 768,   8 182,   9 909,   11 820,   13 811,   15 867,   18 172,   20 869,   23 783,   26 719
450,            Madagascar,Both sexes combined,,   4 084,   4 544,   5 099,   5 769,   6 576,   7 556,   8 717,   10 063,   11 599,   13 475,   15 767,   18 337,   21 152,   24 234,   27 691
450,            Madagascar,Female,,   1 984,   2 221,   2 507,   2 849,   3 259,   3 757,   4 346,   5 029,   5 808,   6 760,   7 916,   9 206,   10 615,   12 152,   13 876
450,            Madagascar,Male,,   2 100,   2 322,   2 593,   2 921,   3 317,   3 799,   4 371,   5 035,   5 791,   6 716,   7 850,   9 130,   10 536,   12 082,   13 815
454,            Malawi,Both sexes combined,,   2 954,   3 271,   3 660,   4 134,   4 704,   5 385,   6 250,   7 268,   9 404,   9 844,   11 149,   12 626,   14 540,   16 745,   19 130
454,            Malawi,Female,,   1 536,   1 684,   1 870,   2 100,   2 379,   2 716,   3 143,   3 650,   4 742,   4 962,   5 645,   6 411,   7 385,   8 495,   9 696
454,            Malawi,Male,,   1 418,   1 587,   1 790,   2 034,   2 325,   2 669,   3 108,   3 618,   4 662,   4 883,   5 504,   6 215,   7 154,   8 250,   9 434
480,            Mauritius,Both sexes combined,1,    493,    571,    660,    753,    826,    892,    966,   1 016,   1 056,   1 129,   1 185,   1 222,   1 248,   1 259,   1 272
480,            Mauritius,Female,1,    248,    286,    331,    377,    413,    452,    490,    512,    529,    566,    597,    616,    629,    636,    644
480,            Mauritius,Male,1,    246,    284,    329,    377,    413,    440,    476,    504,    527,    563,    588,    606,    619,    624,    627
175,            Mayotte,Both sexes combined,2,    15,    19,    24,    31,    37,    45,    55,    72,    95,    123,    150,    178,    209,    240,    273
175,            Mayotte,Female,2,    7,    9,    11,    14,    18,    22,    27,    35,    46,    61,    74,    90,    107,    122,    139
175,            Mayotte,Male,2,    8,    10,    13,    16,    19,    24,    28,    37,    48,    63,    76,    88,    102,    118,    134
508,            Mozambique,Both sexes combined,,   5 959,   6 508,   7 185,   8 039,   9 023,   10 165,   11 630,   12 764,   12 987,   15 483,   17 712,   20 494,   23 532,   27 042,   31 255
508,            Mozambique,Female,,   3 047,   3 326,   3 670,   4 104,   4 603,   5 180,   5 926,   6 528,   6 782,   8 102,   9 243,   10 646,   12 180,   13 950,   16 067
508,            Mozambique,Male,,   2 912,   3 182,   3 515,   3 935,   4 420,   4 985,   5 704,   6 237,   6 205,   7 381,   8 469,   9 848,   11 351,   13 092,   15 188
638,            Réunion,Both sexes combined,2,    248,    292,    336,    391,    462,    485,    509,    559,    611,    674,    737,    792,    831,    863,    895
638,            Réunion,Female,2,    129,    151,    172,    201,    239,    250,    261,    286,    312,    345,    377,    403,    428,    445,    462
638,            Réunion,Male,2,    119,    141,    163,    190,    223,    235,    249,    273,    299,    329,    360,    388,    402,    418,    433
646,            Rwanda,Both sexes combined,,   2 186,   2 527,   2 936,   3 236,   3 757,   4 365,   5 153,   6 147,   7 289,   5 836,   7 934,   8 840,   10 039,   11 369,   12 952
646,            Rwanda,Female,,   1 112,   1 286,   1 494,   1 647,   1 911,   2 219,   2 617,   3 117,   3 694,   2 998,   4 058,   4 515,   5 118,   5 786,   6 585
646,            Rwanda,Male,,   1 074,   1 241,   1 442,   1 589,   1 846,   2 146,   2 536,   3 030,   3 595,   2 838,   3 876,   4 326,   4 921,   5 583,   6 367
690,            Seychelles,Both sexes combined,,    36,    39,    42,    47,    52,    60,    66,    70,    71,    77,    81,    89,    91,    95,    98
690,            Seychelles,Female,,    19,    20,    21,    24,    26,    29,    33,    35,    35,    38,    41,    44,    44,    46,    48
690,            Seychelles,Male,,    17,    19,    20,    23,    26,    30,    33,    35,    35,    38,    40,    44,    47,    49,    50
706,            Somalia,Both sexes combined,,   2 264,   2 492,   2 756,   3 068,   3 445,   3 880,   6 281,   6 649,   7 225,   7 492,   8 872,   10 447,   12 044,   13 797,   15 893
706,            Somalia,Female,,   1 140,   1 257,   1 392,   1 551,   1 742,   1 962,   3 081,   3 289,   3 595,   3 735,   4 429,   5 220,   6 028,   6 914,   7 969
706,            Somalia,Male,,   1 124,   1 234,   1 364,   1 517,   1 703,   1 918,   3 200,   3 360,   3 630,   3 757,   4 443,   5 226,   6 016,   6 883,   7 924
728,            South Sudan,Both sexes combined,,   2 482,   2 620,   2 843,   3 133,   3 494,   3 942,   4 503,   5 221,   5 493,   5 118,   6 199,   7 536,   9 508,   10 716,   11 194
728,            South Sudan,Female,,   1 216,   1 296,   1 415,   1 566,   1 752,   1 980,   2 264,   2 626,   2 763,   2 572,   3 112,   3 776,   4 756,   5 355,   5 591
728,            South Sudan,Male,,   1 266,   1 324,   1 428,   1 567,   1 742,   1 962,   2 239,   2 595,   2 730,   2 546,   3 088,   3 760,   4 752,   5 360,   5 603
800,            Uganda,Both sexes combined,,   5 158,   5 889,   6 767,   7 986,   9 406,   10 737,   12 442,   14 559,   17 354,   20 413,   23 650,   27 685,   32 428,   38 225,   45 741
800,            Uganda,Female,,   2 586,   2 957,   3 401,   4 015,   4 727,   5 394,   6 247,   7 309,   8 736,   10 328,   12 007,   14 046,   16 513,   19 450,   23 194
800,            Uganda,Male,,   2 572,   2 932,   3 366,   3 971,   4 679,   5 344,   6 195,   7 250,   8 619,   10 085,   11 643,   13 639,   15 915,   18 776,   22 547
834,            United Republic of Tanzania,Both sexes combined,3,   7 650,   8 730,   10 052,   11 635,   13 535,   15 885,   18 538,   21 634,   25 204,   29 649,   33 499,   38 450,   44 347,   51 483,   59 734
834,            United Republic of Tanzania,Female,3,   3 918,   4 453,   5 110,   5 899,   6 844,   8 013,   9 332,   10 873,   12 663,   14 897,   16 838,   19 312,   22 227,   25 786,   29 883
834,            United Republic of Tanzania,Male,3,   3 731,   4 277,   4 942,   5 735,   6 691,   7 872,   9 207,   10 761,   12 541,   14 752,   16 661,   19 138,   22 119,   25 696,   29 851
894,            Zambia,Both sexes combined,,   2 310,   2 645,   3 071,   3 570,   4 179,   4 943,   5 852,   6 923,   8 037,   9 097,   10 416,   11 856,   13 606,   15 879,   18 384
894,            Zambia,Female,,   1 160,   1 329,   1 543,   1 796,   2 102,   2 485,   2 940,   3 472,   4 031,   4 579,   5 252,   5 995,   6 887,   8 022,   9 281
894,            Zambia,Male,,   1 150,   1 316,   1 528,   1 774,   2 077,   2 458,   2 911,   3 451,   4 006,   4 518,   5 164,   5 861,   6 719,   7 857,   9 103
716,            Zimbabwe,Both sexes combined,,   2 747,   3 213,   3 777,   4 471,   5 289,   6 294,   7 409,   8 877,   10 432,   11 411,   11 881,   12 077,   12 698,   13 815,   14 863
716,            Zimbabwe,Female,,   1 377,   1 611,   1 894,   2 242,   2 654,   3 159,   3 727,   4 458,   5 241,   5 770,   6 067,   6 293,   6 649,   7 246,   7 771
716,            Zimbabwe,Male,,   1 370,   1 602,   1 883,   2 229,   2 635,   3 135,   3 682,   4 419,   5 191,   5 641,   5 814,   5 784,   6 049,   6 569,   7 092
911,         Middle Africa,Both sexes combined,,   26 454,   29 098,   32 222,   35 893,   40 171,   45 949,   52 885,   60 890,   70 855,   83 775,   96 116,   112 008,   131 622,   154 203,   179 595
911,         Middle Africa,Female,,   13 756,   15 069,   16 515,   18 347,   20 413,   23 303,   26 771,   30 768,   35 752,   42 217,   48 387,   56 316,   66 092,   77 323,   89 973
911,         Middle Africa,Male,,   12 697,   14 029,   15 707,   17 546,   19 758,   22 645,   26 115,   30 122,   35 103,   41 558,   47 729,   55 693,   65 530,   76 881,   89 622
24,            Angola,Both sexes combined,,   4 548,   5 043,   5 455,   5 771,   5 890,   7 024,   8 341,   9 962,   11 848,   13 945,   16 395,   19 434,   23 356,   27 884,   32 866
24,            Angola,Female,,   2 341,   2 590,   2 691,   2 854,   2 852,   3 437,   4 115,   4 947,   5 912,   6 985,   8 240,   9 794,   11 807,   14 093,   16 605
24,            Angola,Male,,   2 207,   2 453,   2 764,   2 916,   3 039,   3 587,   4 226,   5 015,   5 937,   6 960,   8 155,   9 639,   11 549,   13 791,   16 261
120,            Cameroon,Both sexes combined,,   4 307,   4 707,   5 177,   5 774,   6 520,   7 451,   8 621,   10 071,   11 780,   13 600,   15 514,   17 733,   20 341,   23 298,   26 546
120,            Cameroon,Female,,   2 196,   2 396,   2 630,   2 927,   3 299,   3 764,   4 348,   5 071,   5 924,   6 832,   7 792,   8 896,   10 187,   11 657,   13 269
120,            Cameroon,Male,,   2 111,   2 311,   2 547,   2 846,   3 221,   3 687,   4 273,   5 000,   5 856,   6 768,   7 722,   8 837,   10 154,   11 641,   13 277
140,            Central African Republic,Both sexes combined,,   1 327,   1 401,   1 502,   1 640,   1 811,   1 958,   2 199,   2 542,   2 807,   3 223,   3 640,   4 038,   4 387,   4 493,   4 830
140,            Central African Republic,Female,,    673,    711,    762,    833,    920,    995,   1 118,   1 291,   1 424,   1 634,   1 845,   2 043,   2 215,   2 267,   2 436
140,            Central African Republic,Male,,    654,    690,    739,    807,    891,    963,   1 081,   1 251,   1 382,   1 589,   1 795,   1 996,   2 172,   2 227,   2 394
148,            Chad,Both sexes combined,,   2 502,   2 735,   3 002,   3 310,   3 644,   4 089,   4 514,   5 095,   5 963,   7 010,   8 356,   10 097,   11 952,   14 111,   16 426
148,            Chad,Female,,   1 267,   1 395,   1 535,   1 692,   1 858,   2 079,   2 288,   2 575,   3 006,   3 527,   4 197,   5 065,   5 990,   7 069,   8 226
148,            Chad,Male,,   1 235,   1 340,   1 467,   1 618,   1 786,   2 010,   2 227,   2 521,   2 958,   3 483,   4 159,   5 031,   5 962,   7 042,   8 200
178,            Congo,Both sexes combined,,    827,    911,   1 018,   1 155,   1 327,   1 537,   1 778,   2 054,   2 357,   2 708,   3 127,   3 623,   4 274,   4 856,   5 518
178,            Congo,Female,,    418,    462,    518,    588,    676,    782,    904,   1 044,   1 198,   1 375,   1 584,   1 827,   2 147,   2 434,   2 761
178,            Congo,Male,,    409,    449,    501,    567,    651,    755,    874,   1 010,   1 159,   1 332,   1 543,   1 796,   2 126,   2 423,   2 757
180,            Democratic Republic of the Congo,Both sexes combined,,   12 184,   13 518,   15 248,   17 370,   20 011,   22 904,   26 359,   29 881,   34 612,   41 576,   47 106,   54 786,   64 564,   76 245,   89 561
180,            Democratic Republic of the Congo,Female,,   6 477,   7 119,   7 965,   9 008,   10 312,   11 739,   13 449,   15 186,   17 533,   21 003,   23 747,   27 564,   32 422,   38 225,   44 851
